Snapshot,Size,Count,Average Count
"488, 38952, 810, 48.09"
"489, 139336, 3410, 40.86"
"490, 5520, 69, 80.00"
"491, 270800, 1186, 228.33"
"492, 13056, 272, 48.00"
"493, 38952, 810, 48.09"
"494, 140880, 3447, 40.87"
"495, 5520, 69, 80.00"
"496, 13312, 208, 64.00"
"497, 41968, 1404, 29.89"
"498, 97896, 1063, 92.09"
"499, 10536, 218, 48.33"
"500, 3792, 79, 48.00"
"501, 121416, 1538, 78.94"
"502, 32640, 510, 64.00"
"503, 61296, 1706, 35.93"
"504, 5808, 121, 48.00"
"505, 15344, 316, 48.56"
"506, 143208, 1992, 71.89"
"507, 51968, 812, 64.00"
"508, 80624, 2008, 40.15"
"509, 7728, 161, 48.00"
"510, 20144, 418, 48.19"
"511, 154392, 2225, 69.39"
"512, 63616, 994, 64.00"
"513, 92272, 2190, 42.13"
"514, 9792, 204, 48.00"
"515, 24744, 514, 48.14"
"516, 11856, 247, 48.00"
"517, 29496, 613, 48.12"
"518, 6160, 77, 80.00"
"519, 141920, 3475, 40.84"
"520, 2672, 24, 111.33"
"521, 11856, 247, 48.00"
"522, 29496, 613, 48.12"
"523, 6160, 77, 80.00"
"524, 2672, 24, 111.33"
"525, 432, 6, 72.00"
"526, 11856, 247, 48.00"
"527, 29496, 613, 48.12"
"528, 6160, 77, 80.00"
"529, 141640, 3470, 40.82"
"530, 2672, 24, 111.33"
"531, 11856, 247, 48.00"
"532, 29496, 613, 48.12"
"533, 6160, 77, 80.00"
"534, 2672, 24, 111.33"
"535, 432, 6, 72.00"
"536, 11856, 247, 48.00"
"537, 29496, 613, 48.12"
"538, 6160, 77, 80.00"
"539, 2672, 24, 111.33"
"540, 576, 8, 72.00"
"541, 11856, 247, 48.00"
"542, 29496, 613, 48.12"
"543, 6160, 77, 80.00"
"544, 141640, 3470, 40.82"
"545, 2672, 24, 111.33"
"546, 11856, 247, 48.00"
"547, 29496, 613, 48.12"
"548, 6160, 77, 80.00"
"549, 2672, 24, 111.33"
"550, 576, 8, 72.00"
"551, 11856, 247, 48.00"
"552, 29496, 613, 48.12"
"553, 6160, 77, 80.00"
"554, 2672, 24, 111.33"
"555, 432, 6, 72.00"
"556, 11856, 247, 48.00"
"557, 29496, 613, 48.12"
"558, 6160, 77, 80.00"
"559, 2672, 24, 111.33"
"560, 576, 8, 72.00"
"561, 11856, 247, 48.00"
"562, 29496, 613, 48.12"
"563, 6160, 77, 80.00"
"564, 2672, 24, 111.33"
"565, 432, 6, 72.00"
"566, 11856, 247, 48.00"
"567, 29496, 613, 48.12"
"568, 6160, 77, 80.00"
"569, 2672, 24, 111.33"
"570, 576, 8, 72.00"
"571, 11856, 247, 48.00"
"572, 29496, 613, 48.12"
"573, 6160, 77, 80.00"
"574, 2672, 24, 111.33"
"575, 432, 6, 72.00"
"576, 11856, 247, 48.00"
"577, 29496, 613, 48.12"
"578, 6160, 77, 80.00"
"579, 2672, 24, 111.33"
"580, 576, 8, 72.00"
"581, 11856, 247, 48.00"
"582, 29496, 613, 48.12"
"583, 6160, 77, 80.00"
"584, 2672, 24, 111.33"
"585, 432, 6, 72.00"
"586, 11856, 247, 48.00"
"587, 29496, 613, 48.12"
"588, 6160, 77, 80.00"
"589, 2672, 24, 111.33"
"590, 576, 8, 72.00"
"591, 11856, 247, 48.00"
"592, 29496, 613, 48.12"
"593, 6160, 77, 80.00"
"594, 2672, 24, 111.33"
"595, 432, 6, 72.00"
"596, 11856, 247, 48.00"
"597, 29496, 613, 48.12"
"598, 6160, 77, 80.00"
"599, 2672, 24, 111.33"
"600, 576, 8, 72.00"
"601, 11856, 247, 48.00"
"602, 29496, 613, 48.12"
"603, 6160, 77, 80.00"
"604, 141808, 3473, 40.83"
"605, 2672, 24, 111.33"
"606, 11856, 247, 48.00"
"607, 29496, 613, 48.12"
"608, 6160, 77, 80.00"
"609, 2672, 24, 111.33"
"610, 576, 8, 72.00"
"611, 11856, 247, 48.00"
"612, 29496, 613, 48.12"
"613, 6160, 77, 80.00"
"614, 2672, 24, 111.33"
"615, 432, 6, 72.00"
"616, 11856, 247, 48.00"
"617, 29496, 613, 48.12"
"618, 6160, 77, 80.00"
"619, 141808, 3473, 40.83"
"620, 2672, 24, 111.33"
"621, 11856, 247, 48.00"
"622, 29496, 613, 48.12"
"623, 6160, 77, 80.00"
"624, 141976, 3476, 40.84"
"625, 2672, 24, 111.33"
"626, 11856, 247, 48.00"
"627, 29496, 613, 48.12"
"628, 6160, 77, 80.00"
"629, 2672, 24, 111.33"
"630, 576, 8, 72.00"
"631, 109272, 1273, 85.84"
"632, 19456, 304, 64.00"
"633, 48176, 1501, 32.10"
"634, 6672, 139, 48.00"
"635, 14424, 299, 48.24"
"636, 131880, 1744, 75.62"
"637, 38784, 606, 64.00"
"638, 67504, 1803, 37.44"
"639, 8016, 167, 48.00"
"640, 19272, 400, 48.18"
"641, 153960, 2204, 69.85"
"642, 58112, 908, 64.00"
"643, 86832, 2105, 41.25"
"644, 9936, 207, 48.00"
"645, 24072, 500, 48.14"
"646, 63488, 992, 64.00"
"647, 92272, 2190, 42.13"
"648, 11856, 247, 48.00"
"649, 28872, 600, 48.12"
"650, 149016, 2101, 70.93"
"651, 13680, 285, 48.00"
"652, 28872, 600, 48.12"
"653, 6080, 76, 80.00"
"654, 1472, 14, 105.14"
"655, 432, 6, 72.00"
"656, 13680, 285, 48.00"
"657, 28872, 600, 48.12"
"658, 6080, 76, 80.00"
"659, 1472, 14, 105.14"
"660, 576, 8, 72.00"
"661, 13680, 285, 48.00"
"662, 28872, 600, 48.12"
"663, 6080, 76, 80.00"
"664, 1472, 14, 105.14"
"665, 432, 6, 72.00"
"666, 13680, 285, 48.00"
"667, 28872, 600, 48.12"
"668, 6080, 76, 80.00"
"669, 1472, 14, 105.14"
"670, 576, 8, 72.00"
"671, 13680, 285, 48.00"
"672, 28872, 600, 48.12"
"673, 6080, 76, 80.00"
"674, 1472, 14, 105.14"
"675, 432, 6, 72.00"
"676, 13680, 285, 48.00"
"677, 28872, 600, 48.12"
"678, 6080, 76, 80.00"
"679, 1472, 14, 105.14"
"680, 576, 8, 72.00"
"681, 13680, 285, 48.00"
"682, 28872, 600, 48.12"
"683, 6080, 76, 80.00"
"684, 1472, 14, 105.14"
"685, 432, 6, 72.00"
"686, 13680, 285, 48.00"
"687, 28872, 600, 48.12"
"688, 6080, 76, 80.00"
"689, 1472, 14, 105.14"
"690, 576, 8, 72.00"
"691, 13680, 285, 48.00"
"692, 28872, 600, 48.12"
"693, 6080, 76, 80.00"
"694, 1472, 14, 105.14"
"695, 432, 6, 72.00"
"696, 13680, 285, 48.00"
"697, 28872, 600, 48.12"
"698, 6080, 76, 80.00"
"699, 1472, 14, 105.14"
"700, 576, 8, 72.00"
"701, 13680, 285, 48.00"
"702, 28872, 600, 48.12"
"703, 6080, 76, 80.00"
"704, 1472, 14, 105.14"
"705, 432, 6, 72.00"
"706, 13680, 285, 48.00"
"707, 28872, 600, 48.12"
"708, 6080, 76, 80.00"
"709, 1472, 14, 105.14"
"710, 576, 8, 72.00"
"711, 13680, 285, 48.00"
"712, 28872, 600, 48.12"
"713, 6080, 76, 80.00"
"714, 1472, 14, 105.14"
"715, 432, 6, 72.00"
"716, 13680, 285, 48.00"
"717, 28872, 600, 48.12"
"718, 6080, 76, 80.00"
"719, 1472, 14, 105.14"
"720, 576, 8, 72.00"
"721, 13680, 285, 48.00"
"722, 28872, 600, 48.12"
"723, 6080, 76, 80.00"
"724, 1472, 14, 105.14"
"725, 432, 6, 72.00"
"726, 13680, 285, 48.00"
"727, 28872, 600, 48.12"
"728, 6080, 76, 80.00"
"729, 1472, 14, 105.14"
"730, 576, 8, 72.00"
"731, 13680, 285, 48.00"
"732, 28872, 600, 48.12"
"733, 6080, 76, 80.00"
"734, 1472, 14, 105.14"
"735, 432, 6, 72.00"
"736, 13680, 285, 48.00"
"737, 28816, 599, 48.11"
"738, 6080, 76, 80.00"
"739, 224, 4, 56.00"
"740, 1472, 14, 105.14"
Snapshot,Size,Count,Average Count
Snapshot,Size,Count,Average Count
"1, 40040, 10, 4004.00"
"2, 2184, 29, 75.31"
"3, 2000, 5, 400.00"
"4, 1256, 10, 125.60"
"5, 1008, 16, 63.00"
"6, 3072, 34, 90.35"
"7, 1560, 44, 35.45"
"8, 1096, 24, 45.67"
"9, 1920, 24, 80.00"
"10, 1456, 23, 63.30"
"11, 5320, 106, 50.19"
"12, 1200, 25, 48.00"
"13, 4176, 48, 87.00"
"14, 2208, 52, 42.46"
"15, 2240, 35, 64.00"
"16, 1104, 23, 48.00"
"17, 5184, 60, 86.40"
"18, 7104, 147, 48.33"
"19, 3392, 78, 43.49"
"20, 3056, 48, 63.67"
"21, 6144, 71, 86.54"
"22, 1488, 31, 48.00"
"23, 8056, 167, 48.24"
"24, 4720, 105, 44.95"
"25, 4224, 66, 64.00"
"26, 7200, 84, 85.71"
"27, 4368, 91, 48.00"
"28, 6680, 138, 48.41"
"29, 6216, 134, 46.39"
"30, 5504, 86, 64.00"
"31, 4080, 85, 48.00"
"32, 9000, 186, 48.39"
"33, 8160, 95, 85.89"
"34, 8048, 172, 46.79"
"35, 6976, 109, 64.00"
